nomeUnidade,classification
"0POSSE - 1ª VARA (CÍVEL, CRIMINAL %u2013 CRIMES EM GERAL E EXECUÇÕES PENAIS, DA INFÂNCIA E DA JUVENTUDE)"," %u2013 | criminal  | juventude | geral | crimes,execucoes | infancia,penais | civel | vara"
"VARA DA FAZENDA PÚBLICA ESTADUAL, MUNICIPAL, REGISTROS PÚBLICOS E MEIO AMBIENTE - COLATINA", ambiente | municipal  | publica | estadual | registros | fazenda | publicos | vara
"VARA DA FAZENDA PÚBLICA ESTADUAL, MUNICIPAL, REGISTROS PÚBLICOS E MEIO AMBIENTE - CARIACICA", ambiente | municipal  | publica | estadual | registros | fazenda | publicos | vara
"VARA DA FAZENDA PÚBLICA ESTADUAL, MUNICIPAL, REGISTROS PÚBLICOS E MEIO AMBIENTE - GUARAPARI", ambiente | municipal  | publica | estadual | registros | fazenda | publicos | vara
"VARA DA FAZENDA PÚBLICA ESTADUAL, MUNICIPAL, REGISTROS PÚBLICOS E MEIO AMBIENTE - ARACRUZ", ambiente | municipal  | publica | estadual | registros | fazenda | publicos | vara
" ANDIRÁ - VARA CÍVEL, DA FAZENDA PÚBLICA, ACIDENTES DO TRABALHO, REGISTROS PÚBLICOS E CORREGEDORIA DO FORO EXTRAJUDICIAL"," andira | acidentes,extrajudicial  | foro,publica | corregedoria,trabalho | registros | fazenda | civel,publicos | vara"
"ANDIRÁ - VARA CÍVEL, DA FAZENDA PÚBLICA, ACIDENTES DO TRABALHO, REGISTROS PÚBLICOS E CORREGEDORIA DO FORO EXTRAJUDICIAL, JUIZADO ESPECIAL CÍVEL E JUIZADO ESPECIAL DA FAZENDA PÚBLICA"," andira | acidentes,extrajudicial  | foro,publica,publica | corregedoria,trabalho | especial,especial,registros | fazenda,fazenda | civel,civel,publicos | juizado,juizado,vara"
" ANTONINA - VARA CÍVEL, DA FAZENDA PÚBLICA, ACIDENTES DO TRABALHO, REGISTROS PÚBLICOS E DA CORREGEDORIA DO FORO EXTRAJUDICIAL"," antonina | acidentes,extrajudicial  | foro,publica | corregedoria,trabalho | registros | fazenda | civel,publicos | vara"
"ANTONINA - VARA CÍVEL, DA FAZENDA PÚBLICA, ACIDENTES DO TRABALHO, REGISTROS PÚBLICOS E CORREGEDORIA DO FORO EXTRAJUDICIAL, JUIZADO ESPECIAL CÍVEL E JUIZADO ESPECIAL DA FAZENDA PÚBLICA"," antonina | acidentes,extrajudicial  | foro,publica,publica | corregedoria,trabalho | especial,especial,registros | fazenda,fazenda | civel,civel,publicos | juizado,juizado,vara"
"JUIZADO ESPECIAL CÍVEL, CRIMINAL E DA FAZENDA PÚBLICA DA COMARCA DE APODI", apodi | criminal  | publica | comarca | especial | fazenda | civel | juizado
"APUCARANA - VARA DE FAMÍLIA E SUCESSÕES, INFÂNCIA E JUVENTUDE, ACIDENTES DO TRABALHO, REGISTROS PÚBLICOS E CORREGEDORIA DO FORO EXTRAJUDICIAL"," apucarana | acidentes,extrajudicial  | foro,juventude | corregedoria,trabalho | familia,registros | infancia | publicos,sucessoes | vara"
